online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
1,1,3.9,727,28,13,416,800.0,397
0,0,4.1,521,28,13,404,550.0,5047
1,0,4.1,203,28,65,366,650.0,314
1,1,4.4,4381,28,22,1468,600.0,2241
1,0,3.7,131,28,13,504,400.0,2740
1,0,3.7,46,28,13,318,450.0,4884
0,0,3.4,48,28,13,436,550.0,5047
1,0,3.7,127,28,13,467,700.0,512
1,0,2.7,85,28,13,496,500.0,3094
1,0,4.5,1178,0,29,930,500.0,5047
1,0,3.7,335,0,20,65,800.0,5047
1,0,3.8,254,0,20,282,800.0,2463
1,0,4.1,63,28,72,869,300.0,2211
1,0,4.0,244,0,62,202,400.0,5047
1,0,2.9,255,0,62,1156,250.0,5047
1,0,4.5,549,0,30,773,400.0,5047
1,0,4.1,775,0,62,1597,300.0,5047
1,0,3.6,208,28,72,285,300.0,4865
1,0,4.1,739,28,29,565,500.0,4664
1,0,3.8,310,3,62,1156,400.0,1115
1,0,4.0,126,0,62,1156,150.0,1919
1,0,4.1,427,3,72,1392,500.0,1891
1,0,4.0,197,0,62,1156,300.0,5047
1,0,4.1,601,0,62,1477,700.0,4809
1,0,3.9,488,28,72,273,400.0,1143
1,0,4.0,396,3,62,1589,400.0,5047
1,0,3.6,474,0,62,1235,450.0,5047
1,0,2.9,172,0,62,1196,300.0,3205
1,0,3.1,175,3,62,42,250.0,5047
1,0,4.0,939,0,20,558,600.0,5047
1,0,3.9,173,0,62,1461,250.0,4900
1,0,3.9,77,3,62,1156,400.0,356
1,0,3.9,326,0,13,1195,200.0,5047
1,0,3.3,212,28,62,236,350.0,1286
1,0,4.1,464,0,62,1179,300.0,5047
1,0,3.3,628,3,29,923,450.0,4150
1,0,3.6,518,28,20,1589,400.0,2853
1,0,3.9,70,3,30,767,350.0,597
1,0,3.9,62,28,62,324,300.0,1093
1,0,4.4,819,30,30,956,400.0,5047
1,1,4.2,1964,3,20,87,1000.0,460
1,0,4.0,138,3,29,235,650.0,1985
1,0,3.3,455,3,20,50,550.0,2414
1,0,3.8,181,3,41,1181,600.0,3670
1,0,3.6,43,28,62,311,300.0,824
1,0,2.7,159,28,62,1465,750.0,4226
1,0,3.2,166,3,62,1507,600.0,5047
1,0,3.7,128,3,72,282,400.0,2775
1,0,2.9,126,0,62,565,300.0,553
1,0,4.0,952,30,62,1355,400.0,1983
1,0,3.8,472,3,62,323,600.0,1824
1,1,4.0,739,3,20,296,800.0,2988
1,0,3.9,255,0,20,50,500.0,1108
1,0,4.0,1974,28,20,294,800.0,4695
1,1,4.2,1428,28,20,64,800.0,1381
1,0,4.0,332,28,62,1589,300.0,5047
1,1,4.0,199,28,62,1476,700.0,2228
1,0,3.9,437,28,62,322,400.0,672
1,0,3.8,207,3,20,237,700.0,945
1,1,4.4,4381,28,22,1468,600.0,5047
1,0,3.8,55,3,62,1589,300.0,5047
1,0,4.0,597,3,62,1156,400.0,1566
1,0,3.0,102,0,20,1589,600.0,5047
1,0,3.9,189,0,62,256,300.0,1189
1,0,3.7,131,28,13,504,400.0,5047
1,0,4.2,373,28,20,266,750.0,5047
1,0,3.9,435,0,20,197,650.0,3015
1,0,4.1,292,0,20,250,700.0,5047
1,0,3.6,137,3,62,84,300.0,5047
1,0,3.2,133,3,20,1209,500.0,5047
1,0,3.9,37,28,72,1518,250.0,3881
1,0,3.7,170,28,62,862,200.0,5047
1,0,3.6,794,3,20,286,550.0,4203
